fund,asset_family,method,as_of_date,sample_start_date,sample_end_date,current_holdings_date,observations,periods_per_year,risk_free_rate_annual,annual_return_method,final_growth_of_1,annualised_return,annualised_volatility,annualised_mean_excess_return,sharpe_ratio,maximum_drawdown
combined_active_sector_allocation,combined,active_sector_sentiment_risk_budget,2023-12-29,2021-01-04,2023-12-29,2023-11-30,753,252,0.0,geometric,1.3829309277711748,0.11460370531722597,0.1795503240416157,0.12464643875720506,0.6942145018257659,-0.24183984058917696
combined_aggressive_sector_allocation,combined,aggressive_sector_sentiment_risk_budget,2023-12-29,2021-01-04,2023-12-29,2023-11-30,753,252,0.0,geometric,1.399881724704957,0.119157287604017,0.224634400617833,0.1378571517061764,0.6136956375649278,-0.3094092361193791
combined_equal_weight,combined,equal_weight,2023-12-29,2021-01-04,2023-12-29,2023-11-30,753,252,0.0,geometric,1.5175255920297193,0.14979185312494048,0.21251687241172795,0.162209652730608,0.7632789382310536,-0.28746987990265405
combined_growth_sector_allocation,combined,growth_sector_sentiment_risk_budget,2023-12-29,2021-01-04,2023-12-29,2023-11-30,753,252,0.0,geometric,1.3502889702216598,0.10572921091365317,0.1622845825809584,0.11368959394614728,0.7005569607293491,-0.21379460944584783
combined_min_variance,combined,min_variance,2023-12-29,2021-01-04,2023-12-29,2023-11-30,753,252,0.0,geometric,1.2252701928710277,0.07035488787892441,0.12787284194691764,0.07616957747302176,0.5956665724582954,-0.1830373466218297
crypto_equal_weight,crypto,equal_weight,2023-12-31,2020-10-01,2023-12-31,2023-11-30,1187,365,0.0,geometric,3.8967280802623363,0.5192842546718677,0.8095162458516273,0.7494506956673271,0.9258006859132146,-0.8159730614257943
crypto_min_variance,crypto,min_variance,2023-12-31,2020-10-01,2023-12-31,2023-11-30,1187,365,0.0,geometric,5.477917930476718,0.6870296566127836,0.6509984903398828,0.7350450854568525,1.129104132135682,-0.7555517914932267
equity_equal_weight,equity,equal_weight,2023-12-29,2021-01-04,2023-12-29,2023-11-30,753,252,0.0,geometric,1.4272603332576044,0.12643529221978822,0.16166197477746672,0.13214045520431228,0.8173873626510388,-0.20321862626913634
equity_sentiment_21d_coverage_tilt,equity,exploratory_sentiment_21d_coverage_tilt,2023-12-29,2021-01-04,2023-12-29,2023-11-30,753,252,0.0,geometric,1.4184269846683366,0.12409736862405873,0.16178833879471172,0.13008424455926562,0.804039682515843,-0.20370335427123776
equity_sentiment_tilt,equity,sentiment_tilt,2023-12-29,2021-01-04,2023-12-29,2023-11-30,753,252,0.0,geometric,1.4235428461622621,0.12545256094680113,0.16158755221503462,0.131255790843674,0.8122889977874271,-0.2026057520203255
