review_id,text_raw,human_label,human_confidence,reviewer_comment,vader_label,finbert_label,vader_correct,finbert_correct,model_outcome,error_category,category_basis,sector,year,sample_purpose
FINBERT-001,ETF Areas That Make Good Investment Choices for April,positive,high,,positive,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Consumer,2020,disagreement_enriched_diagnosis
FINBERT-002,7 Real Estate Trends to Megawatch Over the Next Decade And How to Profit From Them,neutral,medium,,positive,neutral,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Tech,2022,disagreement_enriched_diagnosis
FINBERT-003,7 Stocks to Buy Before the Holidays,positive,medium,,positive,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Financials,2022,disagreement_enriched_diagnosis
FINBERT-004,"No hydrocarbons found in key Exxon drilling in Brazil, partner says",negative,high,,negative,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Energy,2022,disagreement_enriched_diagnosis
FINBERT-007,Earnings Preview: The Results Aren’t Just Important for Alibaba Stock,neutral,high,,positive,neutral,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Consumer,2020,disagreement_enriched_diagnosis
FINBERT-010,Callon (CPE) Stock Dips 16% Despite Reporting Q1 Earnings Beat,negative,high,,neutral,negative,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Energy,2022,disagreement_enriched_diagnosis
FINBERT-012,These 2 Popular Stocks Rely Heavily on China -- and That's Not a Bad Thing,positive,high,,positive,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Consumer,2021,disagreement_enriched_diagnosis
FINBERT-014,"Walmart to upgrade 1,400 stores with $9 billion investment",positive,high,,neutral,positive,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Consumer,2023,disagreement_enriched_diagnosis
FINBERT-016,Why Is Uniti Group's Dividend So High?,neutral,high,,neutral,negative,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,RealEstate,2023,disagreement_enriched_diagnosis
FINBERT-019,"Wells Fargo Maintains Overweight on NVIDIA, Raises Price Target to $290",positive,high,,negative,positive,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Tech,2020,disagreement_enriched_diagnosis
FINBERT-022,Gilead Sciences Inc. Q2 adjusted earnings of $1.11 per share,neutral,high,,positive,neutral,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Healthcare,2020,disagreement_enriched_diagnosis
FINBERT-023,3 Super Speculative AI Stocks Not Worth the Risk,negative,high,,positive,neutral,False,False,both_wrong,uncategorised,No student comment; no error category inferred.,Tech,2023,disagreement_enriched_diagnosis
FINBERT-030,Italy court annuls Mediaset shareholder vote excluding Vivendi trust,neutral,medium,,positive,negative,False,False,both_wrong,uncategorised,No student comment; no error category inferred.,Financials,2021,disagreement_enriched_diagnosis
FINBERT-032,Why 3M Stock Plunged in August and May Not Recover Soon,negative,high,,neutral,negative,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Industrials,2022,disagreement_enriched_diagnosis
FINBERT-033,Intel forecasts second-quarter revenue above estimates,positive,high,,neutral,positive,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Tech,2023,disagreement_enriched_diagnosis
FINBERT-044,How Close Is Wells Fargo to Exiting Its Asset Cap?,neutral,medium,the impact coould leading to both side,positive,neutral,False,True,finbert_only_correct,mixed positive and negative information,Student comment,Financials,2021,disagreement_enriched_diagnosis
FINBERT-046,"Shares of several industrials companies are trading lower with the overall market as coronavirus cases increase in some US states that have reopened, leading to concerns of a second wave of the virus.",negative,high,,positive,negative,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Industrials,2020,disagreement_enriched_diagnosis
FINBERT-047,Forget Royal Dutch Shell -- Here Are 2 Better Dividend Stocks,negative,low,"negative to RDS, but postive to the 2 better stock",positive,neutral,False,False,both_wrong,mixed positive and negative information,Student comment,Energy,2020,disagreement_enriched_diagnosis
FINBERT-049,US FDA approves Astellas' combination therapy for bladder cancer,positive,high,,negative,positive,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Healthcare,2023,disagreement_enriched_diagnosis
FINBERT-052,MRVL Stock Alert: 14 Reasons Why Marvell Technology Investors Are Feeling Marvelous Today,positive,high,,positive,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Tech,2021,disagreement_enriched_diagnosis
FINBERT-057,2 Bargain Tech Stocks to Buy Now,positive,high,,positive,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Tech,2020,disagreement_enriched_diagnosis
FINBERT-058,AMD Shares Down 2%; MarketWatch Opinion Piece From Futurum Research's Daniel Newman 'Why AMD's best days are behind it',negative,high,,positive,negative,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Tech,2020,disagreement_enriched_diagnosis
FINBERT-059,"Netflix Stock: Next Stop, $740?",neutral,medium,,negative,neutral,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Consumer,2021,disagreement_enriched_diagnosis
FINBERT-061,Supply Chain Woes Should Not Impact NIKE's (NYSE:NKE) Dividend,positive,high,,negative,neutral,False,False,both_wrong,uncategorised,No student comment; no error category inferred.,Consumer,2021,disagreement_enriched_diagnosis
FINBERT-065,"GLOBAL MARKETS-World shares mixed amid hopes for business pickup, oil slips",neutral,high,,positive,negative,False,False,both_wrong,uncategorised,No student comment; no error category inferred.,Energy,2020,disagreement_enriched_diagnosis
FINBERT-067,Worried A Stock Market Crash Is Coming? 3 No-Brainer Dividend Stocks You Don't Need to Wait to Buy,positive,medium,"the worry crash imply the market worry,but not obevious",negative,neutral,False,False,both_wrong,mixed positive and negative information,Student comment,Financials,2021,disagreement_enriched_diagnosis
FINBERT-069,A Recession Won't Slow Down This Dynamic Dividend Stock,positive,high,,negative,neutral,False,False,both_wrong,uncategorised,No student comment; no error category inferred.,RealEstate,2023,disagreement_enriched_diagnosis
FINBERT-070,Forget What You've Heard: This REIT Isn't Seeing Any Slowdown,positive,high,,negative,neutral,False,False,both_wrong,uncategorised,No student comment; no error category inferred.,RealEstate,2022,disagreement_enriched_diagnosis
FINBERT-075,3 Reasons I Am Excited About Starbucks Stock,positive,high,,positive,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Consumer,2021,disagreement_enriched_diagnosis
FINBERT-076,Is Realty Income's (O) Latest Dividend Hike Sustainable?,neutral,high,,neutral,positive,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,RealEstate,2022,disagreement_enriched_diagnosis
FINBERT-077,"Dow Snags Record Close, Indexes Nab Weekly Wins",positive,high,,positive,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Tech,2021,disagreement_enriched_diagnosis
FINBERT-079,Coronavirus: Health Experts Say That Crowded Events Need to Stay Closed Until the Fall of 2021,negative,high,,neutral,negative,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Comm,2020,disagreement_enriched_diagnosis
FINBERT-082,"Crown Castle's (CCI) Q1 AFFO Lags Estimates, Revenues Up Y/Y",neutral,high,,negative,positive,False,False,both_wrong,uncategorised,No student comment; no error category inferred.,RealEstate,2023,disagreement_enriched_diagnosis
FINBERT-088,AMGN Dividend Yield Pushes Past 3%,positive,high,,neutral,positive,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Healthcare,2022,disagreement_enriched_diagnosis
FINBERT-091,Is Duke Energy (DUK) Outperforming Other Utilities Stocks This Year?,neutral,high,,positive,negative,False,False,both_wrong,uncategorised,No student comment; no error category inferred.,Utilities,2020,disagreement_enriched_diagnosis
FINBERT-093,US STOCKS-Sliding bank shares drag Wall Street down in choppy trade,negative,high,,positive,negative,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Financials,2023,disagreement_enriched_diagnosis
FINBERT-103,"Unusual Options Activity in Apple, Home Depot and 8 Other Stocks",neutral,high,,neutral,negative,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Healthcare,2022,disagreement_enriched_diagnosis
FINBERT-105,"Iovance (IOVA) Q1 Earnings Beat, Lifileucel BLA on Track",positive,high,,neutral,positive,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Healthcare,2022,disagreement_enriched_diagnosis
FINBERT-106,T-Mobile (TMUS) Surpasses Q2 Earnings Estimates,positive,high,,neutral,positive,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Comm,2022,disagreement_enriched_diagnosis
FINBERT-109,Gilead Sciences Option Alert: Jan 17 $65 Calls at the Ask: 1500 @ $1.311 vs 32458 OI; Earnings 2/3 After Close [est] Ref=$65.1002,neutral,high,,positive,neutral,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Healthcare,2020,disagreement_enriched_diagnosis
FINBERT-110,Best Value Stocks To Buy For 2023? 3 To Watch,positive,high,,positive,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Comm,2022,disagreement_enriched_diagnosis
FINBERT-116,Abbott (ABT) Rides on Nutrition Recovery Amid Low Testing Sales,neutral,high,,negative,positive,False,False,both_wrong,uncategorised,No student comment; no error category inferred.,Healthcare,2023,disagreement_enriched_diagnosis
FINBERT-117,Why Shares of Hyzon Motors Are Skyrocketing Today,positive,high,,positive,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Energy,2022,disagreement_enriched_diagnosis
FINBERT-118,2 Stocks That Are Perfect to Buy Now and Hold Until Retirement,positive,high,,positive,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Healthcare,2021,disagreement_enriched_diagnosis
FINBERT-119,Is Abbott Laboratories Still a Good Dividend Stock to Buy?,neutral,high,,positive,neutral,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Healthcare,2022,disagreement_enriched_diagnosis
FINBERT-120,Morgan Stanley profit shrinks as deal slump lingers,negative,high,,positive,negative,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Financials,2023,disagreement_enriched_diagnosis
FINBERT-123,Even Frodo Can't Save AMC Stock Now,negative,high,,negative,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Comm,2021,disagreement_enriched_diagnosis
FINBERT-133,"GDP, Fed Speakers and Other Can't Miss Items This Week",neutral,high,,positive,neutral,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Tech,2023,disagreement_enriched_diagnosis
FINBERT-143,Earnings Preview: Electronic Arts (EA) Q2 Earnings Expected to Decline,negative,high,,neutral,negative,False,True,finbert_only_correct,uncategorised,No student comment; no error category inferred.,Comm,2022,disagreement_enriched_diagnosis
FINBERT-145,3 Best Buffett Stocks to Buy for the Long Haul,positive,high,,positive,neutral,True,False,vader_only_correct,uncategorised,No student comment; no error category inferred.,Healthcare,2021,disagreement_enriched_diagnosis
