review_id,text_raw,human_label,human_confidence,reviewer_comment,reviewed_by_student
FINBERT-001,ETF Areas That Make Good Investment Choices for April,,,,
FINBERT-002,7 Real Estate Trends to Megawatch Over the Next Decade And How to Profit From Them,,,,
FINBERT-003,7 Stocks to Buy Before the Holidays,,,,
FINBERT-004,"No hydrocarbons found in key Exxon drilling in Brazil, partner says",,,,
FINBERT-005,Netflix Earnings Preview: 3 Key Questions For the Leading Streamer,,,,
FINBERT-006,"Delisting renewables company PNE would have a price, says top investor",,,,
FINBERT-007,Earnings Preview: The Results Aren’t Just Important for Alibaba Stock,,,,
FINBERT-008,2 Monster Growth Stocks to Buy Now and Hold,,,,
FINBERT-009,"US STOCKS-Wall St books records, weekly gains on strong jobs report, Pfizer COVID-19 pill cheer",,,,
FINBERT-010,Callon (CPE) Stock Dips 16% Despite Reporting Q1 Earnings Beat,,,,
FINBERT-011,What's Next For Merck Stock After FDA Advisors Back Its Covid-19 Pill?,,,,
FINBERT-012,These 2 Popular Stocks Rely Heavily on China -- and That's Not a Bad Thing,,,,
FINBERT-013,"Zacks Market Edge Highlights: NVIDIA, Broadcom, Texas Instruments, Advanced Micro Devices and Qualcomm",,,,
FINBERT-014,"Walmart to upgrade 1,400 stores with $9 billion investment",,,,
FINBERT-015,"Why ExxonMobil, Chevron, Kinder Morgan, and Other Energy Stocks Jumped Today",,,,
FINBERT-016,Why Is Uniti Group's Dividend So High?,,,,
FINBERT-017,Where Will Autodesk Stock Be in 1 Year?,,,,
FINBERT-018,GE Announces Actions To De-risk Its Balance Sheet - Quick Facts,,,,
FINBERT-019,"Wells Fargo Maintains Overweight on NVIDIA, Raises Price Target to $290",,,,
FINBERT-020,Insiders Buy the Holdings of NOBL ETF,,,,
FINBERT-021,US STOCKS-Wall Street eyes higher open as investors cheer Apple earnings,,,,
FINBERT-022,Gilead Sciences Inc. Q2 adjusted earnings of $1.11 per share,,,,
FINBERT-023,3 Super Speculative AI Stocks Not Worth the Risk,,,,
FINBERT-024,EXCLUSIVE-Southwest Airlines expects certification of Boeing's 737 MAX 7 by April - company exec,,,,
FINBERT-025,Disney's Streaming Business Needs Help. Owning All of Hulu Probably Won't Provide It.,,,,
FINBERT-026,Netflix ad-supported plan to launch in November at $7 a month,,,,
FINBERT-027,United Airlines Stock May Not Be Done Crashing,,,,
FINBERT-028,Is Schwab Fundamental U.S. Broad Market Index ETF (FNDB) a Strong ETF Right Now?,,,,
FINBERT-029,7 Safe Growth Stocks to Put In Your Buy-and-Hold Portfolio,,,,
FINBERT-030,Italy court annuls Mediaset shareholder vote excluding Vivendi trust,,,,
FINBERT-031,Here's What Movie Theaters Are Losing Due to Coronavirus,,,,
FINBERT-032,Why 3M Stock Plunged in August and May Not Recover Soon,,,,
FINBERT-033,Intel forecasts second-quarter revenue above estimates,,,,
FINBERT-034,"Chevron Q4 Profit Up 25%, But Misses Estimates",,,,
FINBERT-035,"American Tower (AMT) Rides on Wireless Demand, Acquisitions",,,,
FINBERT-036,"XLU, SRE, AEP, EXC: Large Inflows Detected at ETF",,,,
FINBERT-037,Wall Street Analysts Look Bullish on Coke (KO): Should You Buy?,,,,
FINBERT-038,"Advent, Carlyle to consider bid for DuPont's $12 bln unit - Bloomberg News",,,,
FINBERT-039,Hong Kong government ends Disney's option for expanding theme park,,,,
