date,ticker,sector,title,url,publisher,text_raw,trading_date,mapping_status,calendar_days_forward,probability_positive,probability_negative,probability_neutral,finbert_score,finbert_label,vader_compound,vader_label,label_agreement,opposite_sign,neutral_non_neutral,year,sampling_stratum,population_stratum_count,stratum_sample_count,sampling_probability,sampling_weight,sample_purpose,selection_rule,validation_status,student_label,student_confidence,student_notes,student_reviewed_by
2020-07-02,EA,Comm,Buy EA Stock as it Advances to a New Level,https://www.nasdaq.com/articles/buy-ea-stock-as-it-advances-to-a-new-level-2020-07-02,,Buy EA Stock as it Advances to a New Level,2020-07-02,same_trading_day,0,0.1259676069021225,0.01049623824656,0.8635361790657043,0.1154713686555624,neutral,0.0,neutral,True,False,False,2020,Comm|2020,2168,2,0.0009225092250922509,1084.0,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-03-19,CMCSA,Comm,Here's What Movie Theaters Are Losing Due to Coronavirus,https://www.nasdaq.com/articles/heres-what-movie-theaters-are-losing-due-to-coronavirus-2020-03-19,,Here's What Movie Theaters Are Losing Due to Coronavirus,2020-03-19,same_trading_day,0,0.0211215037852525,0.743377685546875,0.2355008274316787,-0.7222561817616224,negative,-0.3818,negative,True,False,False,2020,Comm|2020,2168,2,0.0009225092250922509,1084.0,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2021-01-27,T,Comm,AT&T Q4 20 Earnings Conference Call At 8:30 AM ET,https://www.nasdaq.com/articles/att-q4-20-earnings-conference-call-at-8%3A30-am-et-2021-01-27,,AT&T Q4 20 Earnings Conference Call At 8:30 AM ET,2021-01-27,same_trading_day,0,0.0206615775823593,0.0563910081982612,0.9229474067687988,-0.0357294306159019,neutral,0.0,neutral,True,False,False,2021,Comm|2021,1840,2,0.0010869565217391304,920.0,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2021-01-05,EA,Comm,First Week of EA February 19th Options Trading,https://www.nasdaq.com/articles/first-week-of-ea-february-19th-options-trading-2021-01-05,,First Week of EA February 19th Options Trading,2021-01-05,same_trading_day,0,0.0221248194575309,0.0601670369505882,0.917708158493042,-0.0380422174930572,neutral,0.0,neutral,True,False,False,2021,Comm|2021,1840,2,0.0010869565217391304,920.0,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-06-28,CMCSA,Comm,4 Potential Winners From Netflix's Advertising Plans,https://www.nasdaq.com/articles/4-potential-winners-from-netflixs-advertising-plans,,4 Potential Winners From Netflix's Advertising Plans,2022-06-28,same_trading_day,0,0.6849944591522217,0.011526302434504,0.3034791648387909,0.6734681567177176,positive,0.4767,positive,True,False,False,2022,Comm|2022,2013,2,0.0009935419771485345,1006.5,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-06-13,TMUS,Comm,Implied RPV Analyst Target Price: $95,https://www.nasdaq.com/articles/implied-rpv-analyst-target-price%3A-%2495,,Implied RPV Analyst Target Price: $95,2022-06-13,same_trading_day,0,0.0468590967357158,0.0157846957445144,0.9373562335968018,0.0310744009912014,neutral,0.0,neutral,True,False,False,2022,Comm|2022,2013,2,0.0009935419771485345,1006.5,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2023-07-05,CMCSA,Comm,Disney's (DIS) Latest Indiana Jones Movie Hits the Right Chord,https://www.nasdaq.com/articles/disneys-dis-latest-indiana-jones-movie-hits-the-right-chord,,Disney's (DIS) Latest Indiana Jones Movie Hits the Right Chord,2023-07-05,same_trading_day,0,0.4572061002254486,0.0196898579597473,0.5231040120124817,0.4375162422657013,neutral,0.0,neutral,True,False,False,2023,Comm|2023,2022,2,0.0009891196834817012,1011.0,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2023-05-31,TMUS,Comm,"QQQ, COST, CSCO, TMUS: ETF Outflow Alert",https://www.nasdaq.com/articles/qqq-cost-csco-tmus%3A-etf-outflow-alert,,"QQQ, COST, CSCO, TMUS: ETF Outflow Alert",2023-05-31,same_trading_day,0,0.0367314480245113,0.0654097646474838,0.8978588581085205,-0.0286783166229724,neutral,0.296,positive,False,False,True,2023,Comm|2023,2022,2,0.0009891196834817012,1011.0,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-05-05,DIS,Consumer,"Disney's 2021 Earnings Will Still Be Weak, One Bear Says",https://www.nasdaq.com/articles/disneys-2021-earnings-will-still-be-weak-one-bear-says-2020-05-05,,"Disney's 2021 Earnings Will Still Be Weak, One Bear Says",2020-05-05,same_trading_day,0,0.0093912407755851,0.9718182682991028,0.0187905132770538,-0.9624270275235176,negative,-0.4404,negative,True,False,False,2020,Consumer|2020,6014,6,0.0009976720984369804,1002.3333333333334,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-09-23,DIS,Consumer,Hong Kong government ends Disney's option for expanding theme park,https://www.nasdaq.com/articles/hong-kong-government-ends-disneys-option-for-expanding-theme-park-2020-09-23,,Hong Kong government ends Disney's option for expanding theme park,2020-09-23,same_trading_day,0,0.07392118871212,0.0744897350668907,0.8515890836715698,-0.0005685463547706,neutral,0.0,neutral,True,False,False,2020,Consumer|2020,6014,6,0.0009976720984369804,1002.3333333333334,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
