date,ticker,sector,title,url,publisher,text_raw,trading_date,mapping_status,calendar_days_forward,probability_positive,probability_negative,probability_neutral,finbert_score,finbert_label,vader_compound,vader_label,label_agreement,opposite_sign,neutral_non_neutral,year,sample_purpose,sampling_stratum,selection_rule,validation_status,student_label,student_confidence,student_notes,student_reviewed_by
2023-10-24,NVDA,Tech,2 AI Chip Stocks to Outperform Nvidia (NVDA),https://www.nasdaq.com/articles/2-ai-chip-stocks-to-outperform-nvidia-nvda,,2 AI Chip Stocks to Outperform Nvidia (NVDA),2023-10-24,same_trading_day,0,0.8747073411941528,0.0787585824728012,0.0465339720249176,0.7959487587213516,positive,0.0,neutral,False,False,True,2023,descriptive_disagreement_audit,neutral_non_neutral,seed=5547; simple random sample from distinct-title label disagreements,pending student review,,,,
2021-03-08,DIS,Consumer,2 Blue Chip Stock Market Winners No One's Talking About -- but Should Be,https://www.nasdaq.com/articles/2-blue-chip-stock-market-winners-no-ones-talking-about-but-should-be-2021-03-08,,2 Blue Chip Stock Market Winners No One's Talking About -- but Should Be,2021-03-08,same_trading_day,0,0.1053981706500053,0.0148510690778493,0.8797507286071777,0.0905471015721559,neutral,0.1154,positive,False,False,True,2021,descriptive_disagreement_audit,neutral_non_neutral,seed=5547; simple random sample from distinct-title label disagreements,pending student review,,,,
2022-03-29,MRK,Healthcare,2 Dirt Cheap Dividend Stocks to Buy Right Now,https://www.nasdaq.com/articles/2-dirt-cheap-dividend-stocks-to-buy-right-now,,2 Dirt Cheap Dividend Stocks to Buy Right Now,2022-03-29,same_trading_day,0,0.135832205414772,0.0186468698084354,0.8455209732055664,0.1171853356063366,neutral,-0.34,negative,False,False,True,2022,descriptive_disagreement_audit,neutral_non_neutral,seed=5547; simple random sample from distinct-title label disagreements,pending student review,,,,
2022-05-26,O,RealEstate,2 Top Dividend Stocks That Wall Street Is Sleeping On,https://www.nasdaq.com/articles/2-top-dividend-stocks-that-wall-street-is-sleeping-on-0,,2 Top Dividend Stocks That Wall Street Is Sleeping On,2022-05-26,same_trading_day,0,0.1401872634887695,0.044668149203062,0.8151444792747498,0.0955191142857074,neutral,0.2023,positive,False,False,True,2022,descriptive_disagreement_audit,neutral_non_neutral,seed=5547; simple random sample from distinct-title label disagreements,pending student review,,,,
2023-11-07,KO,Consumer,3 Passive Income Powerhouses With 40-Plus Years of Dividend Raises,https://www.nasdaq.com/articles/3-passive-income-powerhouses-with-40-plus-years-of-dividend-raises,,3 Passive Income Powerhouses With 40-Plus Years of Dividend Raises,2023-11-07,same_trading_day,0,0.1052990183234214,0.0133247794583439,0.8813762664794922,0.0919742388650775,neutral,0.2023,positive,False,False,True,2023,descriptive_disagreement_audit,neutral_non_neutral,seed=5547; simple random sample from distinct-title label disagreements,pending student review,,,,
2021-03-25,NEE,Utilities,3 Perfect Stocks to Buy If the Stock Market Crashes,https://www.nasdaq.com/articles/3-perfect-stocks-to-buy-if-the-stock-market-crashes-2021-03-25,,3 Perfect Stocks to Buy If the Stock Market Crashes,2021-03-25,same_trading_day,0,0.0648995265364646,0.018335772678256,0.9167646169662476,0.0465637538582086,neutral,0.5719,positive,False,False,True,2021,descriptive_disagreement_audit,neutral_non_neutral,seed=5547; simple random sample from distinct-title label disagreements,pending student review,,,,
2020-01-05,AMD,Tech,3 Reasons Why AMD Was the S&P 500's Top Stock in 2019,https://www.nasdaq.com/articles/3-reasons-why-amd-was-the-sp-500s-top-stock-in-2019-2020-01-05,,3 Reasons Why AMD Was the S&P 500's Top Stock in 2019,2020-01-06,next_trading_day,1,0.0573915354907512,0.0264760740101337,0.9161324501037598,0.0309154614806175,neutral,0.2023,positive,False,False,True,2020,descriptive_disagreement_audit,neutral_non_neutral,seed=5547; simple random sample from distinct-title label disagreements,pending student review,,,,
2020-01-02,GE,Industrials,3 Reasons Why GE Stock Could Rally Another 20% in 2020,https://www.nasdaq.com/articles/3-reasons-why-ge-stock-could-rally-another-20-in-2020-2020-01-02,,3 Reasons Why GE Stock Could Rally Another 20% in 2020,2020-01-02,same_trading_day,0,0.8356013894081116,0.0237519238144159,0.1406467258930206,0.8118494655936956,positive,0.0,neutral,False,False,True,2020,descriptive_disagreement_audit,neutral_non_neutral,seed=5547; simple random sample from distinct-title label disagreements,pending student review,,,,
2020-01-28,BA,Industrials,3 Stocks to Sell Following Monday’s Beatdown,https://www.nasdaq.com/articles/3-stocks-to-sell-following-mondays-beatdown-2020-01-28,,3 Stocks to Sell Following Monday’s Beatdown,2020-01-28,same_trading_day,0,0.3367854058742523,0.4288683235645294,0.2343461811542511,-0.0920829176902771,negative,0.0,neutral,False,False,True,2020,descriptive_disagreement_audit,neutral_non_neutral,seed=5547; simple random sample from distinct-title label disagreements,pending student review,,,,
2023-08-25,CMCSA,Comm,3 Telecom Stocks Ringing Upside From Analysts,https://www.nasdaq.com/articles/3-telecom-stocks-ringing-upside-from-analysts,,3 Telecom Stocks Ringing Upside From Analysts,2023-08-25,same_trading_day,0,0.4010465741157532,0.4343864917755127,0.1645669937133789,-0.0333399176597595,negative,0.0,neutral,False,False,True,2023,descriptive_disagreement_audit,neutral_non_neutral,seed=5547; simple random sample from distinct-title label disagreements,pending student review,,,,
