temporal_fold,period_start_date,period_end_date,signal_method,monthly_decisions,signal_coverage_share,mean_effective_news_coverage,final_period_used_for_parameter_selection,summary_scope,sector,usable_sector_observations,usable_monthly_rank_ic_observations,mean_monthly_rank_ic,median_monthly_rank_ic,proportion_monthly_rank_ic_above_zero,sector_time_series_spearman
through_2021,2021-01-04,2021-12-31,exploratory_21d_coverage_adjusted_zscore,12,1.0,0.6637301587301588,False,overall,ALL,120,12.0,-0.10909090909090907,-0.07272727272727272,0.4166666666666667,
through_2021,2021-01-04,2021-12-31,exploratory_21d_coverage_adjusted_zscore,12,1.0,0.7293650793650794,False,sector,Comm,12,,,,,0.2657342657342658
through_2021,2021-01-04,2021-12-31,exploratory_21d_coverage_adjusted_zscore,12,1.0,0.9150793650793653,False,sector,Consumer,12,,,,,-0.09090909090909093
through_2021,2021-01-04,2021-12-31,exploratory_21d_coverage_adjusted_zscore,12,1.0,0.7555555555555555,False,sector,Energy,12,,,,,-0.5314685314685316
through_2021,2021-01-04,2021-12-31,exploratory_21d_coverage_adjusted_zscore,12,1.0,0.834920634920635,False,sector,Financials,12,,,,,0.27272727272727276
through_2021,2021-01-04,2021-12-31,exploratory_21d_coverage_adjusted_zscore,12,1.0,0.7539682539682541,False,sector,Healthcare,12,,,,,0.35664335664335667
through_2021,2021-01-04,2021-12-31,exploratory_21d_coverage_adjusted_zscore,12,1.0,0.6968253968253969,False,sector,Industrials,12,,,,,-0.5454545454545455
through_2021,2021-01-04,2021-12-31,exploratory_21d_coverage_adjusted_zscore,12,1.0,0.4206349206349207,False,sector,Materials,12,,,,,0.1398601398601399
through_2021,2021-01-04,2021-12-31,exploratory_21d_coverage_adjusted_zscore,12,1.0,0.38015873015873014,False,sector,RealEstate,12,,,,,0.1188811188811189
through_2021,2021-01-04,2021-12-31,exploratory_21d_coverage_adjusted_zscore,12,1.0,0.7420634920634921,False,sector,Tech,12,,,,,-0.055944055944055944
through_2021,2021-01-04,2021-12-31,exploratory_21d_coverage_adjusted_zscore,12,1.0,0.4087301587301588,False,sector,Utilities,12,,,,,-0.06993006993006995
through_2021,2021-01-04,2021-12-31,locked_prior_day_expanding_zscore,12,0.9916666666666667,0.6957983193277312,False,overall,ALL,119,12.0,-0.14356060606060603,-0.20606060606060606,0.3333333333333333,
through_2021,2021-01-04,2021-12-31,locked_prior_day_expanding_zscore,12,1.0,0.7166666666666667,False,sector,Comm,12,,,,,0.10489510489510491
